,0.00,-147.00,-2468.00
1,0.00,-115.00,-2848.00
5,0.00,-104.00,-759.00
11,0.00,-90.00,-1139.00
19,0.00,-69.00,-2183.00
26,0.00,-39.00,-1993.00
33,0.00,-33.00,-189.00
41,0.00,-43.00,664.00
48,0.00,-58.00,1898.00
55,0.00,-26.00,-3323.00
63,0.00,2.00,-2183.00
70,0.00,9.00,-379.00
77,0.00,-3.00,1329.00
85,0.00,-6.00,284.00
92,0.00,26.00,-3607.00
99,0.00,48.00,-1993.00
107,0.00,29.00,1329.00
114,0.00,20.00,379.00
121,0.00,46.00,-2848.00
129,0.00,74.00,-2563.00
136,0.00,85.00,-1139.00
143,0.00,70.00,1424.00
151,0.00,58.00,759.00
158,0.00,95.00,-3417.00
165,0.00,108.00,-854.00
173,0.00,107.00,0.00
180,0.00,104.00,94.00
187,0.00,102.00,0.00
195,0.00,129.00,-2468.00
202,0.00,128.00,379.00
209,0.00,128.00,0.00
217,0.00,125.00,0.00
224,0.00,138.00,-1424.00
231,0.00,151.00,-854.00
239,0.00,163.00,-1424.00
246,0.00,160.00,664.00
253,0.00,149.00,474.00
261,0.00,163.00,-1614.00
268,0.00,175.00,-1234.00
275,0.00,181.00,-474.00
283,0.00,175.00,759.00
290,0.00,170.00,569.00
297,0.00,183.00,-1139.00
305,0.00,198.00,-1424.00
312,0.00,187.00,759.00
319,0.00,187.00,-94.00
327,0.00,187.00,94.00
334,0.00,199.00,-759.00
341,0.00,195.00,759.00
355,0.00,203.00,-1234.00
363,0.00,194.00,284.00
370,0.00,202.00,-1234.00
377,0.00,193.00,1139.00
385,0.00,192.00,-189.00
392,0.00,195.00,-189.00
399,0.00,196.00,189.00
407,0.00,189.00,569.00
414,0.00,198.00,-949.00
421,0.00,189.00,759.00
429,0.00,188.00,474.00
436,0.00,191.00,94.00
443,0.00,186.00,0.00
451,0.00,193.00,-189.00
458,0.00,178.00,1329.00
465,0.00,168.00,759.00
473,0.00,174.00,-569.00
480,0.00,184.00,-1044.00
487,0.00,163.00,1708.00
495,0.00,163.00,-284.00
502,0.00,161.00,-189.00
509,0.00,160.00,-189.00
517,0.00,151.00,474.00
524,0.00,140.00,1329.00
531,0.00,132.00,1044.00
539,0.00,136.00,-284.00
546,0.00,134.00,189.00
553,0.00,112.00,1329.00
561,0.00,105.00,664.00
568,0.00,111.00,-474.00
575,0.00,103.00,284.00
583,0.00,93.00,854.00
590,0.00,87.00,379.00
597,0.00,76.00,569.00
605,0.00,70.00,664.00
612,0.00,76.00,-474.00
619,0.00,58.00,1614.00
627,0.00,48.00,379.00
634,0.00,41.00,664.00
641,0.00,39.00,-189.00
649,0.00,33.00,284.00
656,0.00,23.00,569.00
663,0.00,10.00,1234.00
671,0.00,5.00,664.00
678,0.00,0.00,759.00
685,0.00,-2.00,379.00
693,0.00,-14.00,569.00
700,0.00,-20.00,189.00
707,0.00,-28.00,664.00
715,0.00,-24.00,189.00
722,0.00,-35.00,1234.00
729,0.00,-44.00,949.00
737,0.00,-60.00,1139.00
744,0.00,-63.00,474.00
751,0.00,-55.00,0.00
759,0.00,-68.00,1424.00
766,0.00,-73.00,0.00
773,0.00,-84.00,1044.00
781,0.00,-82.00,94.00
788,0.00,-84.00,94.00
795,0.00,-94.00,949.00
803,0.00,-109.00,1139.00
810,0.00,-108.00,0.00
817,0.00,-120.00,1044.00
825,0.00,-124.00,-94.00
832,0.00,-128.00,759.00
839,0.00,-129.00,94.00
847,0.00,-125.00,-284.00
854,0.00,-129.00,0.00
861,0.00,-135.00,474.00
869,0.00,-135.00,284.00
876,0.00,-143.00,949.00
883,0.00,-142.00,-94.00
891,0.00,-139.00,-189.00
898,0.00,-147.00,474.00
905,0.00,-158.00,1329.00
912,0.00,-158.00,-189.00
920,0.00,-159.00,569.00
927,0.00,-165.00,664.00
934,0.00,-155.00,-1139.00
942,0.00,-164.00,664.00
949,0.00,-158.00,-474.00
956,0.00,-163.00,379.00
964,0.00,-160.00,189.00
971,0.00,-164.00,284.00
978,0.00,-170.00,759.00
986,0.00,-162.00,-569.00
993,0.00,-162.00,284.00
1000,0.00,-157.00,0.00
1008,0.00,-159.00,-94.00
1015,0.00,-146.00,-1519.00
1022,0.00,-144.00,-94.00
1030,0.00,-149.00,284.00
1037,0.00,-149.00,-284.00
1044,0.00,-138.00,-949.00
1052,0.00,-132.00,-284.00
1059,0.00,-136.00,0.00
1066,0.00,-141.00,474.00
1074,0.00,-125.00,-1234.00
1081,0.00,-119.00,-569.00
1088,0.00,-123.00,-189.00
1096,0.00,-112.00,-1044.00
1103,0.00,-111.00,-759.00
1110,0.00,-103.00,-284.00
1118,0.00,-100.00,-284.00
1125,0.00,-90.00,-759.00
1132,0.00,-90.00,569.00
1140,0.00,-88.00,0.00
1172,0.00,-81.00,-569.00
1179,0.00,-76.00,-474.00
1187,0.00,-72.00,-379.00
1194,0.00,-65.00,-854.00
1201,0.00,-62.00,0.00
1209,0.00,-58.00,-759.00
1216,0.00,-56.00,-284.00
1223,0.00,-50.00,-664.00
1231,0.00,-46.00,0.00
1238,0.00,-45.00,189.00
1245,0.00,-32.00,-1139.00
1253,0.00,-34.00,94.00
1260,0.00,-24.00,-854.00
1267,0.00,-25.00,-189.00
1275,0.00,-24.00,189.00
1282,0.00,-15.00,-1329.00
1289,0.00,-10.00,-569.00
1297,0.00,5.00,-1139.00
1304,0.00,0.00,-569.00
1311,0.00,8.00,-474.00
1319,0.00,15.00,-569.00
1326,0.00,19.00,-284.00
1333,0.00,20.00,189.00
1341,0.00,32.00,-1139.00
1348,0.00,36.00,-189.00
1355,0.00,40.00,94.00
1363,0.00,46.00,-474.00
1370,0.00,54.00,-949.00
1377,0.00,54.00,189.00
1385,0.00,56.00,-189.00
1392,0.00,66.00,-284.00
1399,0.00,72.00,-1044.00
