,0.00,-4.00,-2848.00
2,0.00,17.00,-1139.00
33,0.00,76.00,474.00
40,0.00,52.00,1708.00
47,0.00,30.00,2088.00
55,0.00,45.00,-2088.00
62,0.00,72.00,-1424.00
69,0.00,69.00,189.00
77,0.00,49.00,2088.00
84,0.00,40.00,949.00
91,0.00,63.00,-2468.00
99,0.00,80.00,-1139.00
106,0.00,58.00,2088.00
113,0.00,46.00,1424.00
121,0.00,40.00,189.00
128,0.00,64.00,-2278.00
135,0.00,65.00,-189.00
143,0.00,55.00,1329.00
150,0.00,45.00,1139.00
157,0.00,57.00,-664.00
165,0.00,67.00,-1898.00
172,0.00,58.00,759.00
179,0.00,60.00,474.00
187,0.00,34.00,2088.00
194,0.00,47.00,-1424.00
201,0.00,53.00,-569.00
209,0.00,39.00,1139.00
216,0.00,36.00,949.00
223,0.00,42.00,-1519.00
231,0.00,46.00,189.00
238,0.00,45.00,474.00
245,0.00,46.00,94.00
253,0.00,31.00,1044.00
260,0.00,28.00,-379.00
267,0.00,38.00,-854.00
275,0.00,38.00,-189.00
282,0.00,26.00,1139.00
289,0.00,22.00,474.00
297,0.00,28.00,-379.00
304,0.00,31.00,-1044.00
311,0.00,24.00,759.00
319,0.00,22.00,-284.00
326,0.00,11.00,664.00
333,0.00,21.00,-949.00
341,0.00,21.00,94.00
348,0.00,11.00,759.00
355,0.00,13.00,-474.00
363,0.00,9.00,379.00
370,0.00,9.00,-474.00
377,0.00,6.00,0.00
385,0.00,-6.00,1044.00
392,0.00,3.00,-1234.00
399,0.00,8.00,-569.00
407,0.00,-3.00,1234.00
414,0.00,4.00,-949.00
421,0.00,-1.00,664.00
429,0.00,-2.00,0.00
436,0.00,-11.00,854.00
443,0.00,-13.00,-94.00
451,0.00,-1.00,-569.00
458,0.00,-22.00,1708.00
465,0.00,-12.00,-854.00
473,0.00,-23.00,569.00
480,0.00,-11.00,-1329.00
487,0.00,-13.00,-94.00
495,0.00,-16.00,284.00
502,0.00,-22.00,0.00
509,0.00,-16.00,-759.00
517,0.00,-18.00,189.00
524,0.00,-23.00,569.00
531,0.00,-33.00,1139.00
539,0.00,-26.00,-759.00
546,0.00,-28.00,-94.00
553,0.00,-27.00,-94.00
561,0.00,-41.00,1044.00
568,0.00,-31.00,-949.00
575,0.00,-35.00,189.00
583,0.00,-30.00,-569.00
590,0.00,-36.00,379.00
597,0.00,-37.00,-189.00
605,0.00,-39.00,-284.00
612,0.00,-45.00,759.00
619,0.00,-44.00,-94.00
627,0.00,-40.00,-94.00
634,0.00,-50.00,569.00
641,0.00,-41.00,-854.00
649,0.00,-43.00,-94.00
656,0.00,-42.00,-284.00
663,0.00,-32.00,-1424.00
671,0.00,-41.00,1044.00
678,0.00,-40.00,0.00
685,0.00,-46.00,189.00
693,0.00,-42.00,-379.00
700,0.00,-31.00,-1234.00
707,0.00,-40.00,474.00
715,0.00,-35.00,-664.00
722,0.00,-41.00,474.00
729,0.00,-33.00,-474.00
737,0.00,-41.00,664.00
744,0.00,-48.00,854.00
751,0.00,-40.00,-664.00
759,0.00,-31.00,-474.00
766,0.00,-33.00,94.00
773,0.00,-32.00,-379.00
781,0.00,-33.00,284.00
788,0.00,-26.00,-854.00
795,0.00,-27.00,379.00
803,0.00,-38.00,569.00
810,0.00,-32.00,-759.00
817,0.00,-21.00,-1329.00
825,0.00,-21.00,189.00
832,0.00,-31.00,664.00
839,0.00,-24.00,-949.00
847,0.00,-24.00,-94.00
854,0.00,-25.00,284.00
861,0.00,-30.00,949.00
869,0.00,-24.00,-379.00
876,0.00,-13.00,-854.00
883,0.00,-11.00,-379.00
891,0.00,-8.00,-474.00
898,0.00,-22.00,1329.00
905,0.00,-20.00,94.00
912,0.00,-24.00,94.00
920,0.00,-18.00,-284.00
927,0.00,-16.00,-474.00
934,0.00,-18.00,189.00
942,0.00,-10.00,-379.00
949,0.00,-13.00,189.00
956,0.00,-8.00,-284.00
964,0.00,0.00,-1139.00
971,0.00,-8.00,949.00
978,0.00,-10.00,0.00
986,0.00,-12.00,189.00
993,0.00,-12.00,-284.00
1000,0.00,-14.00,-379.00
1008,0.00,-13.00,-379.00
1015,0.00,-12.00,189.00
1022,0.00,-3.00,-1044.00
1030,0.00,-5.00,-94.00
1037,0.00,-7.00,0.00
1044,0.00,-14.00,759.00
1052,0.00,-7.00,-664.00
1059,0.00,-1.00,-94.00
1066,0.00,-5.00,284.00
1074,0.00,-1.00,0.00
1081,0.00,-5.00,-94.00
1088,0.00,4.00,-759.00
1096,0.00,-6.00,949.00
1103,0.00,6.00,-1234.00
1110,0.00,3.00,474.00
1118,0.00,0.00,379.00
1125,0.00,4.00,-284.00
1132,0.00,0.00,284.00
1140,0.00,1.00,284.00
1172,0.00,3.00,-94.00
1179,0.00,-1.00,0.00
1187,0.00,-5.00,284.00
1194,0.00,4.00,-284.00
1201,0.00,2.00,284.00
1209,0.00,-2.00,569.00
1216,0.00,7.00,-1139.00
1223,0.00,7.00,189.00
1231,0.00,0.00,854.00
1238,0.00,3.00,-474.00
1245,0.00,-5.00,759.00
1253,0.00,9.00,-1329.00
1260,0.00,3.00,569.00
1267,0.00,4.00,-284.00
1275,0.00,-4.00,664.00
1282,0.00,0.00,-474.00
1289,0.00,-5.00,949.00
1297,0.00,0.00,-379.00
1304,0.00,1.00,-189.00
1311,0.00,0.00,284.00
1319,0.00,-6.00,569.00
1326,0.00,-3.00,-379.00
1333,0.00,0.00,-189.00
1341,0.00,-3.00,94.00
1348,0.00,-7.00,-284.00
1355,0.00,2.00,-1424.00
1363,0.00,5.00,-474.00
1370,0.00,5.00,379.00
1377,0.00,2.00,474.00
1385,0.00,-2.00,94.00
1392,0.00,-4.00,474.00
1399,0.00,-4.00,-474.00
