,0.00,-81.00,-4272.00
2,0.00,-66.00,-759.00
33,0.00,16.00,-949.00
40,0.00,-8.00,1519.00
47,0.00,-16.00,1424.00
55,0.00,14.00,-3228.00
62,0.00,39.00,-1139.00
69,0.00,43.00,-474.00
77,0.00,29.00,1614.00
84,0.00,18.00,-189.00
91,0.00,71.00,-4842.00
99,0.00,81.00,-854.00
106,0.00,74.00,949.00
113,0.00,52.00,2088.00
121,0.00,75.00,-2183.00
128,0.00,104.00,-2468.00
135,0.00,105.00,379.00
143,0.00,105.00,189.00
150,0.00,94.00,569.00
157,0.00,116.00,-2658.00
165,0.00,134.00,-1424.00
172,0.00,134.00,854.00
179,0.00,128.00,759.00
187,0.00,124.00,379.00
194,0.00,150.00,-2183.00
201,0.00,155.00,-284.00
209,0.00,147.00,759.00
216,0.00,140.00,1234.00
223,0.00,157.00,-2088.00
231,0.00,175.00,-1424.00
238,0.00,186.00,-854.00
245,0.00,169.00,1234.00
253,0.00,166.00,569.00
260,0.00,182.00,-1519.00
267,0.00,189.00,-284.00
275,0.00,193.00,-664.00
282,0.00,181.00,1614.00
289,0.00,170.00,0.00
297,0.00,186.00,-1424.00
304,0.00,196.00,-854.00
311,0.00,202.00,-474.00
319,0.00,189.00,1139.00
326,0.00,186.00,189.00
333,0.00,199.00,-1139.00
341,0.00,198.00,569.00
348,0.00,193.00,284.00
355,0.00,190.00,-189.00
363,0.00,193.00,-949.00
370,0.00,187.00,1139.00
377,0.00,188.00,-474.00
385,0.00,184.00,379.00
392,0.00,185.00,0.00
399,0.00,187.00,94.00
407,0.00,181.00,664.00
414,0.00,185.00,-474.00
421,0.00,174.00,1329.00
429,0.00,173.00,284.00
436,0.00,178.00,-759.00
443,0.00,176.00,-569.00
451,0.00,167.00,759.00
458,0.00,146.00,1898.00
465,0.00,153.00,-1044.00
473,0.00,146.00,94.00
480,0.00,150.00,-379.00
487,0.00,135.00,1234.00
495,0.00,134.00,-284.00
502,0.00,131.00,379.00
