,0.00,-364.00,-2183.00
1,0.00,-365.00,0.00
3,0.00,-370.00,379.00
9,0.00,-370.00,474.00
17,0.00,-373.00,-189.00
24,0.00,-366.00,-664.00
31,0.00,-371.00,759.00
39,0.00,-394.00,1708.00
46,0.00,-412.00,1708.00
53,0.00,-414.00,-284.00
61,0.00,-405.00,-379.00
68,0.00,-405.00,0.00
75,0.00,-428.00,1519.00
83,0.00,-447.00,2373.00
90,0.00,-440.00,-1519.00
97,0.00,-440.00,379.00
105,0.00,-438.00,-474.00
112,0.00,-456.00,1993.00
119,0.00,-469.00,1139.00
127,0.00,-452.00,-1803.00
134,0.00,-441.00,-569.00
141,0.00,-452.00,759.00
149,0.00,-469.00,1803.00
156,0.00,-455.00,-854.00
163,0.00,-444.00,-1329.00
171,0.00,-446.00,94.00
178,0.00,-448.00,284.00
185,0.00,-441.00,-854.00
193,0.00,-435.00,-1139.00
200,0.00,-428.00,-284.00
207,0.00,-416.00,-1139.00
215,0.00,-418.00,-474.00
222,0.00,-403.00,-1139.00
229,0.00,-390.00,-1519.00
237,0.00,-383.00,-949.00
244,0.00,-389.00,759.00
251,0.00,-381.00,-1139.00
259,0.00,-353.00,-2373.00
266,0.00,-341.00,-1044.00
273,0.00,-338.00,-569.00
281,0.00,-332.00,94.00
288,0.00,-318.00,-1329.00
295,0.00,-294.00,-2658.00
303,0.00,-282.00,-854.00
310,0.00,-265.00,-1614.00
317,0.00,-270.00,379.00
325,0.00,-250.00,-1708.00
332,0.00,-226.00,-1803.00
339,0.00,-220.00,94.00
347,0.00,-200.00,-1614.00
354,0.00,-191.00,-1044.00
361,0.00,-163.00,-2563.00
369,0.00,-141.00,-1329.00
376,0.00,-129.00,-1139.00
383,0.00,-113.00,-1803.00
391,0.00,-92.00,-1614.00
398,0.00,-73.00,-1708.00
405,0.00,-59.00,-854.00
413,0.00,-40.00,-1329.00
420,0.00,-35.00,-474.00
427,0.00,-24.00,-949.00
435,0.00,8.00,-2848.00
442,0.00,25.00,-1234.00
449,0.00,44.00,-1044.00
457,0.00,46.00,189.00
464,0.00,78.00,-2658.00
471,0.00,99.00,-1898.00
479,0.00,115.00,-1329.00
486,0.00,126.00,-1139.00
493,0.00,125.00,0.00
501,0.00,151.00,-1898.00
508,0.00,172.00,-1519.00
515,0.00,181.00,-949.00
523,0.00,189.00,-664.00
530,0.00,199.00,-1329.00
537,0.00,222.00,-1424.00
545,0.00,237.00,-949.00
552,0.00,248.00,-474.00
559,0.00,249.00,0.00
567,0.00,266.00,-1044.00
574,0.00,283.00,-1803.00
581,0.00,303.00,-1519.00
589,0.00,299.00,94.00
596,0.00,310.00,-664.00
603,0.00,327.00,-2088.00
611,0.00,342.00,-1044.00
618,0.00,337.00,664.00
625,0.00,350.00,-949.00
633,0.00,354.00,-379.00
640,0.00,361.00,-569.00
647,0.00,373.00,-664.00
