,0.00,-132.00,-3987.00
2,0.00,-99.00,-2848.00
33,0.00,-7.00,-949.00
40,0.00,-14.00,0.00
47,0.00,-24.00,949.00
55,0.00,8.00,-3228.00
62,0.00,45.00,-2373.00
69,0.00,48.00,-284.00
77,0.00,41.00,949.00
84,0.00,38.00,-664.00
91,0.00,89.00,-4367.00
99,0.00,108.00,-1614.00
106,0.00,100.00,949.00
113,0.00,92.00,379.00
121,0.00,107.00,-2088.00
128,0.00,137.00,-2563.00
135,0.00,152.00,-949.00
143,0.00,145.00,284.00
150,0.00,139.00,0.00
157,0.00,159.00,-1993.00
165,0.00,189.00,-2658.00
172,0.00,183.00,854.00
179,0.00,182.00,569.00
187,0.00,199.00,-569.00
194,0.00,211.00,-1708.00
201,0.00,225.00,-1329.00
209,0.00,210.00,1898.00
216,0.00,219.00,-1044.00
223,0.00,236.00,-1803.00
231,0.00,249.00,-1329.00
238,0.00,263.00,-1234.00
245,0.00,257.00,379.00
253,0.00,251.00,759.00
260,0.00,263.00,-854.00
267,0.00,278.00,-1234.00
275,0.00,283.00,-569.00
282,0.00,271.00,1234.00
289,0.00,270.00,0.00
297,0.00,289.00,-1993.00
304,0.00,287.00,474.00
311,0.00,294.00,-854.00
319,0.00,280.00,1234.00
326,0.00,281.00,-284.00
333,0.00,301.00,-1519.00
341,0.00,298.00,284.00
348,0.00,289.00,379.00
355,0.00,293.00,-284.00
369,0.00,293.00,-94.00
377,0.00,286.00,759.00
384,0.00,285.00,189.00
391,0.00,282.00,-94.00
399,0.00,283.00,94.00
406,0.00,279.00,474.00
413,0.00,274.00,0.00
421,0.00,268.00,949.00
428,0.00,257.00,474.00
435,0.00,262.00,-94.00
443,0.00,262.00,-284.00
450,0.00,248.00,759.00
457,0.00,246.00,284.00
465,0.00,230.00,1234.00
472,0.00,228.00,-189.00
479,0.00,234.00,-189.00
487,0.00,213.00,1329.00
494,0.00,199.00,759.00
501,0.00,199.00,-94.00
509,0.00,199.00,189.00
516,0.00,189.00,474.00
523,0.00,174.00,1234.00
531,0.00,160.00,664.00
538,0.00,157.00,94.00
545,0.00,155.00,569.00
553,0.00,141.00,1234.00
560,0.00,122.00,1614.00
567,0.00,113.00,189.00
575,0.00,111.00,189.00
582,0.00,100.00,1044.00
589,0.00,88.00,1139.00
597,0.00,79.00,379.00
604,0.00,65.00,1898.00
611,0.00,58.00,379.00
619,0.00,31.00,2183.00
626,0.00,22.00,664.00
633,0.00,20.00,0.00
641,0.00,9.00,949.00
648,0.00,-5.00,1139.00
655,0.00,-13.00,949.00
663,0.00,-19.00,0.00
670,0.00,-32.00,854.00
677,0.00,-41.00,379.00
685,0.00,-51.00,949.00
692,0.00,-59.00,379.00
699,0.00,-64.00,0.00
707,0.00,-77.00,854.00
714,0.00,-86.00,379.00
721,0.00,-96.00,1424.00
729,0.00,-118.00,949.00
736,0.00,-128.00,1329.00
743,0.00,-134.00,284.00
751,0.00,-129.00,-664.00
758,0.00,-141.00,759.00
765,0.00,-156.00,1329.00
773,0.00,-166.00,474.00
780,0.00,-179.00,1329.00
787,0.00,-177.00,379.00
795,0.00,-196.00,1519.00
802,0.00,-195.00,-94.00
809,0.00,-200.00,474.00
817,0.00,-211.00,-94.00
824,0.00,-206.00,-759.00
831,0.00,-223.00,1519.00
839,0.00,-231.00,474.00
846,0.00,-232.00,94.00
853,0.00,-235.00,-94.00
861,0.00,-238.00,664.00
868,0.00,-244.00,474.00
875,0.00,-245.00,284.00
883,0.00,-251.00,284.00
890,0.00,-246.00,-569.00
897,0.00,-249.00,854.00
904,0.00,-255.00,189.00
912,0.00,-258.00,0.00
919,0.00,-261.00,569.00
926,0.00,-260.00,-854.00
934,0.00,-255.00,-189.00
941,0.00,-252.00,-474.00
948,0.00,-254.00,-284.00
956,0.00,-247.00,-854.00
963,0.00,-252.00,379.00
970,0.00,-258.00,854.00
978,0.00,-247.00,-1139.00
985,0.00,-243.00,-569.00
992,0.00,-246.00,569.00
1000,0.00,-249.00,-189.00
1007,0.00,-241.00,-94.00
1014,0.00,-228.00,-1708.00
1022,0.00,-222.00,-94.00
1029,0.00,-224.00,94.00
1036,0.00,-214.00,-1708.00
1044,0.00,-211.00,-284.00
1051,0.00,-208.00,0.00
1058,0.00,-189.00,-1708.00
1066,0.00,-194.00,1044.00
1073,0.00,-184.00,-1708.00
1080,0.00,-170.00,-854.00
1088,0.00,-165.00,-474.00
1095,0.00,-153.00,-1044.00
1102,0.00,-150.00,-569.00
1110,0.00,-133.00,-1614.00
1117,0.00,-126.00,-474.00
1124,0.00,-127.00,569.00
1132,0.00,-114.00,-1044.00
1139,0.00,-106.00,-759.00
1171,0.00,-94.00,-664.00
1179,0.00,-88.00,-1044.00
1186,0.00,-73.00,-854.00
1193,0.00,-74.00,-284.00
1201,0.00,-66.00,-854.00
1208,0.00,-59.00,-854.00
1215,0.00,-48.00,-1614.00
1223,0.00,-40.00,-569.00
1230,0.00,-31.00,-379.00
1237,0.00,-19.00,-1234.00
1245,0.00,-18.00,-664.00
1252,0.00,-8.00,-1424.00
1259,0.00,1.00,-664.00
1267,0.00,9.00,-1044.00
1274,0.00,17.00,-1044.00
1281,0.00,33.00,-1614.00
1289,0.00,35.00,284.00
1296,0.00,47.00,-1614.00
1303,0.00,58.00,-569.00
1311,0.00,55.00,94.00
1318,0.00,78.00,-1424.00
1325,0.00,81.00,-189.00
1333,0.00,89.00,-1044.00
1340,0.00,93.00,189.00
1347,0.00,104.00,-854.00
1355,0.00,120.00,-1708.00
1362,0.00,116.00,379.00
1369,0.00,126.00,-569.00
1377,0.00,130.00,-284.00
1384,0.00,135.00,-569.00
1391,0.00,142.00,-569.00
1399,0.00,152.00,-854.00
