,0.00,-350.00,-3512.00
1,0.00,-305.00,-4082.00
4,0.00,-276.00,-2278.00
10,0.00,-253.00,-1329.00
17,0.00,-231.00,-2468.00
25,0.00,-188.00,-3797.00
32,0.00,-162.00,-1898.00
39,0.00,-159.00,-569.00
47,0.00,-154.00,284.00
54,0.00,-121.00,-3323.00
61,0.00,-80.00,-3038.00
69,0.00,-63.00,-1424.00
76,0.00,-66.00,-94.00
83,0.00,-66.00,-284.00
91,0.00,-19.00,-4082.00
98,0.00,8.00,-2278.00
105,0.00,21.00,-854.00
113,0.00,20.00,94.00
120,0.00,44.00,-2183.00
127,0.00,90.00,-3892.00
135,0.00,109.00,-1424.00
142,0.00,111.00,94.00
149,0.00,111.00,-474.00
157,0.00,146.00,-2848.00
164,0.00,172.00,-1898.00
171,0.00,198.00,-2753.00
179,0.00,196.00,0.00
186,0.00,203.00,-854.00
193,0.00,234.00,-3038.00
201,0.00,260.00,-1803.00
208,0.00,274.00,-759.00
215,0.00,275.00,0.00
223,0.00,289.00,-1519.00
230,0.00,315.00,-1614.00
237,0.00,350.00,-3512.00
245,0.00,341.00,1044.00
252,0.00,351.00,-1044.00
259,0.00,364.00,-1139.00
267,0.00,397.00,-2088.00
274,0.00,398.00,-379.00
281,0.00,402.00,94.00
289,0.00,404.00,-379.00
296,0.00,422.00,-1424.00
303,0.00,439.00,-1898.00
311,0.00,455.00,-1234.00
318,0.00,447.00,854.00
325,0.00,443.00,0.00
333,0.00,460.00,-1139.00
340,0.00,480.00,-1139.00
347,0.00,486.00,-949.00
355,0.00,483.00,284.00
362,0.00,463.00,1519.00
369,0.00,482.00,-1803.00
377,0.00,483.00,0.00
384,0.00,486.00,-949.00
391,0.00,491.00,-189.00
399,0.00,486.00,569.00
406,0.00,484.00,-379.00
413,0.00,481.00,-379.00
421,0.00,480.00,-94.00
428,0.00,479.00,284.00
435,0.00,475.00,379.00
443,0.00,476.00,-569.00
450,0.00,467.00,1139.00
457,0.00,449.00,664.00
465,0.00,444.00,569.00
472,0.00,447.00,-664.00
479,0.00,442.00,474.00
487,0.00,427.00,1519.00
494,0.00,417.00,379.00
501,0.00,419.00,-94.00
509,0.00,408.00,854.00
516,0.00,399.00,1139.00
523,0.00,379.00,1898.00
531,0.00,352.00,2373.00
538,0.00,353.00,-854.00
545,0.00,347.00,759.00
553,0.00,318.00,3133.00
560,0.00,302.00,949.00
567,0.00,288.00,664.00
575,0.00,276.00,1234.00
582,0.00,261.00,1234.00
589,0.00,240.00,1898.00
597,0.00,224.00,1139.00
604,0.00,213.00,759.00
611,0.00,204.00,1139.00
619,0.00,178.00,2468.00
626,0.00,158.00,1803.00
633,0.00,139.00,1424.00
641,0.00,126.00,474.00
648,0.00,119.00,284.00
655,0.00,87.00,2373.00
663,0.00,83.00,379.00
670,0.00,57.00,1708.00
677,0.00,46.00,569.00
685,0.00,30.00,1614.00
692,0.00,8.00,1993.00
699,0.00,-20.00,2183.00
707,0.00,-45.00,2088.00
714,0.00,-43.00,-189.00
721,0.00,-58.00,1424.00
729,0.00,-81.00,1803.00
736,0.00,-113.00,2848.00
743,0.00,-124.00,1234.00
751,0.00,-137.00,1044.00
758,0.00,-151.00,949.00
765,0.00,-176.00,1898.00
773,0.00,-197.00,1519.00
780,0.00,-212.00,1803.00
787,0.00,-220.00,379.00
795,0.00,-239.00,1519.00
802,0.00,-253.00,1044.00
809,0.00,-279.00,1803.00
817,0.00,-283.00,379.00
824,0.00,-294.00,94.00
831,0.00,-311.00,1424.00
839,0.00,-324.00,569.00
846,0.00,-340.00,1424.00
853,0.00,-344.00,0.00
861,0.00,-351.00,854.00
868,0.00,-359.00,474.00
875,0.00,-381.00,1993.00
883,0.00,-394.00,1139.00
890,0.00,-399.00,379.00
897,0.00,-398.00,-379.00
904,0.00,-405.00,854.00
912,0.00,-420.00,1139.00
919,0.00,-426.00,569.00
926,0.00,-427.00,-569.00
934,0.00,-424.00,189.00
941,0.00,-435.00,854.00
948,0.00,-437.00,284.00
956,0.00,-435.00,-189.00
963,0.00,-444.00,759.00
970,0.00,-441.00,0.00
978,0.00,-449.00,474.00
985,0.00,-441.00,-759.00
992,0.00,-446.00,284.00
1000,0.00,-450.00,284.00
1007,0.00,-454.00,569.00
1014,0.00,-438.00,-1234.00
1022,0.00,-433.00,-284.00
1029,0.00,-433.00,379.00
1043,0.00,-428.00,284.00
1050,0.00,-403.00,-2468.00
1058,0.00,-402.00,0.00
1065,0.00,-397.00,-94.00
1072,0.00,-397.00,-569.00
1080,0.00,-390.00,-379.00
1087,0.00,-376.00,-854.00
1094,0.00,-359.00,-854.00
1102,0.00,-352.00,-949.00
1109,0.00,-346.00,-474.00
1116,0.00,-323.00,-1614.00
1124,0.00,-316.00,-949.00
1131,0.00,-299.00,-1234.00
1138,0.00,-295.00,-189.00
1171,0.00,-270.00,-2183.00
1178,0.00,-270.00,-94.00
1185,0.00,-247.00,-2278.00
1193,0.00,-236.00,-1139.00
1200,0.00,-228.00,-759.00
1207,0.00,-212.00,-1519.00
1215,0.00,-200.00,-1139.00
1222,0.00,-180.00,-1519.00
1229,0.00,-159.00,-2183.00
1237,0.00,-148.00,-1044.00
1245,0.00,-128.00,-854.00
1253,0.00,-108.00,-1803.00
1260,0.00,-81.00,-2753.00
1267,0.00,-68.00,-474.00
1275,0.00,-68.00,284.00
1282,0.00,-52.00,-1803.00
1289,0.00,-37.00,-1139.00
1297,0.00,-18.00,-1329.00
1304,0.00,5.00,-1898.00
1311,0.00,19.00,-949.00
1319,0.00,34.00,-1044.00
1326,0.00,55.00,-2278.00
1333,0.00,75.00,-1993.00
1341,0.00,81.00,-474.00
1348,0.00,105.00,-2183.00
1355,0.00,117.00,-759.00
1363,0.00,134.00,-1708.00
1370,0.00,149.00,-1044.00
1377,0.00,151.00,0.00
1385,0.00,169.00,-1993.00
1392,0.00,189.00,-1424.00
1399,0.00,204.00,-759.00
