,0.00,56.00,-4652.00
1,0.00,82.00,-2563.00
4,0.00,93.00,0.00
10,0.00,109.00,-1329.00
17,0.00,135.00,-1803.00
25,0.00,169.00,-2563.00
32,0.00,170.00,189.00
39,0.00,153.00,1329.00
47,0.00,149.00,94.00
54,0.00,191.00,-4272.00
61,0.00,212.00,-1329.00
69,0.00,221.00,-569.00
76,0.00,202.00,1424.00
83,0.00,215.00,-1424.00
91,0.00,242.00,-2373.00
98,0.00,237.00,284.00
105,0.00,243.00,-94.00
113,0.00,231.00,569.00
120,0.00,253.00,-2373.00
127,0.00,275.00,-1993.00
135,0.00,275.00,-284.00
142,0.00,273.00,379.00
149,0.00,266.00,664.00
157,0.00,288.00,-1898.00
164,0.00,310.00,-1708.00
171,0.00,307.00,0.00
179,0.00,293.00,1139.00
186,0.00,287.00,474.00
193,0.00,310.00,-1519.00
201,0.00,310.00,569.00
208,0.00,316.00,-759.00
215,0.00,303.00,1044.00
223,0.00,302.00,-94.00
230,0.00,307.00,189.00
237,0.00,316.00,-284.00
245,0.00,306.00,569.00
252,0.00,307.00,-759.00
259,0.00,307.00,569.00
267,0.00,314.00,-379.00
274,0.00,299.00,759.00
281,0.00,289.00,1044.00
289,0.00,283.00,759.00
296,0.00,298.00,-1424.00
303,0.00,287.00,1803.00
311,0.00,288.00,-474.00
318,0.00,267.00,1139.00
325,0.00,259.00,284.00
333,0.00,259.00,94.00
340,0.00,262.00,-94.00
347,0.00,259.00,189.00
355,0.00,241.00,1424.00
362,0.00,240.00,0.00
369,0.00,229.00,474.00
377,0.00,224.00,664.00
384,0.00,216.00,854.00
391,0.00,206.00,759.00
399,0.00,202.00,-94.00
406,0.00,199.00,0.00
413,0.00,184.00,1424.00
421,0.00,171.00,379.00
428,0.00,157.00,1044.00
435,0.00,161.00,-569.00
443,0.00,148.00,854.00
450,0.00,131.00,1139.00
457,0.00,116.00,1234.00
465,0.00,111.00,284.00
472,0.00,104.00,474.00
479,0.00,99.00,664.00
487,0.00,77.00,1898.00
494,0.00,61.00,949.00
501,0.00,56.00,0.00
509,0.00,47.00,664.00
516,0.00,31.00,1139.00
523,0.00,19.00,759.00
531,0.00,1.00,1803.00
538,0.00,-7.00,664.00
545,0.00,-16.00,1139.00
553,0.00,-33.00,1519.00
560,0.00,-46.00,569.00
567,0.00,-57.00,1424.00
575,0.00,-58.00,-94.00
582,0.00,-74.00,1519.00
589,0.00,-87.00,1234.00
597,0.00,-98.00,664.00
604,0.00,-108.00,759.00
611,0.00,-110.00,-189.00
619,0.00,-118.00,759.00
626,0.00,-136.00,1329.00
633,0.00,-146.00,569.00
641,0.00,-157.00,-189.00
648,0.00,-162.00,474.00
655,0.00,-175.00,949.00
663,0.00,-186.00,949.00
670,0.00,-194.00,474.00
677,0.00,-208.00,1329.00
685,0.00,-202.00,-664.00
692,0.00,-214.00,1329.00
699,0.00,-227.00,759.00
707,0.00,-236.00,569.00
714,0.00,-230.00,-94.00
721,0.00,-236.00,759.00
729,0.00,-241.00,94.00
736,0.00,-253.00,854.00
743,0.00,-264.00,949.00
751,0.00,-257.00,0.00
758,0.00,-257.00,189.00
765,0.00,-265.00,664.00
773,0.00,-278.00,1139.00
780,0.00,-267.00,-1329.00
787,0.00,-272.00,-189.00
795,0.00,-268.00,-284.00
802,0.00,-279.00,1044.00
809,0.00,-283.00,759.00
817,0.00,-277.00,-1329.00
824,0.00,-277.00,-379.00
831,0.00,-275.00,-474.00
839,0.00,-275.00,0.00
846,0.00,-276.00,189.00
853,0.00,-268.00,-284.00
861,0.00,-271.00,0.00
868,0.00,-261.00,-1329.00
875,0.00,-252.00,-1044.00
883,0.00,-246.00,-189.00
890,0.00,-248.00,0.00
897,0.00,-253.00,379.00
905,0.00,-242.00,-949.00
912,0.00,-239.00,-284.00
919,0.00,-234.00,-474.00
926,0.00,-234.00,0.00
934,0.00,-222.00,-854.00
941,0.00,-214.00,-759.00
948,0.00,-207.00,-569.00
956,0.00,-200.00,-759.00
963,0.00,-189.00,-759.00
970,0.00,-184.00,-569.00
978,0.00,-167.00,-1708.00
985,0.00,-163.00,-569.00
1399,0.00,228.00,-379.00
