,0.00,-417.00,-759.00
1,0.00,-409.00,-379.00
3,0.00,-415.00,379.00
9,0.00,-415.00,94.00
17,0.00,-426.00,854.00
24,0.00,-417.00,-1139.00
31,0.00,-422.00,949.00
39,0.00,-445.00,1803.00
46,0.00,-461.00,949.00
53,0.00,-470.00,189.00
61,0.00,-464.00,-664.00
68,0.00,-462.00,-189.00
75,0.00,-470.00,759.00
83,0.00,-491.00,1993.00
90,0.00,-491.00,-379.00
97,0.00,-484.00,-189.00
105,0.00,-486.00,284.00
112,0.00,-493.00,759.00
119,0.00,-501.00,474.00
127,0.00,-494.00,-94.00
134,0.00,-490.00,-474.00
141,0.00,-500.00,759.00
149,0.00,-500.00,94.00
156,0.00,-495.00,-379.00
163,0.00,-483.00,-854.00
171,0.00,-480.00,-189.00
178,0.00,-485.00,284.00
185,0.00,-483.00,-94.00
193,0.00,-465.00,-1424.00
200,0.00,-452.00,-949.00
207,0.00,-453.00,474.00
215,0.00,-453.00,94.00
222,0.00,-441.00,-1139.00
229,0.00,-428.00,-1519.00
237,0.00,-411.00,-1234.00
244,0.00,-405.00,-474.00
251,0.00,-403.00,189.00
259,0.00,-380.00,-1993.00
266,0.00,-360.00,-1424.00
273,0.00,-356.00,-94.00
281,0.00,-351.00,-94.00
288,0.00,-338.00,-1329.00
295,0.00,-311.00,-1898.00
303,0.00,-292.00,-1614.00
310,0.00,-287.00,-94.00
317,0.00,-273.00,-1424.00
325,0.00,-258.00,-1424.00
332,0.00,-234.00,-2088.00
339,0.00,-219.00,-759.00
347,0.00,-198.00,-1329.00
354,0.00,-182.00,-1708.00
361,0.00,-164.00,-1898.00
369,0.00,-138.00,-1803.00
376,0.00,-118.00,-1519.00
383,0.00,-96.00,-1993.00
391,0.00,-88.00,-284.00
398,0.00,-66.00,-1993.00
405,0.00,-49.00,-1234.00
413,0.00,-31.00,-1993.00
420,0.00,-17.00,-854.00
427,0.00,-3.00,-1139.00
435,0.00,23.00,-2468.00
442,0.00,48.00,-1993.00
449,0.00,62.00,-1139.00
457,0.00,79.00,-1044.00
464,0.00,96.00,-1614.00
471,0.00,122.00,-2088.00
479,0.00,139.00,-1424.00
486,0.00,138.00,94.00
493,0.00,156.00,-1329.00
501,0.00,175.00,-1424.00
508,0.00,202.00,-2278.00
515,0.00,211.00,-474.00
523,0.00,220.00,-949.00
530,0.00,224.00,-664.00
537,0.00,247.00,-1139.00
545,0.00,269.00,-1519.00
552,0.00,281.00,-949.00
559,0.00,287.00,-474.00
567,0.00,299.00,-949.00
574,0.00,317.00,-1519.00
581,0.00,334.00,-1234.00
589,0.00,339.00,-474.00
596,0.00,344.00,-474.00
603,0.00,359.00,-1139.00
611,0.00,374.00,-1234.00
618,0.00,387.00,-949.00
625,0.00,383.00,189.00
633,0.00,392.00,-664.00
640,0.00,406.00,-1519.00
647,0.00,418.00,-854.00
655,0.00,420.00,-189.00
662,0.00,408.00,949.00
669,0.00,414.00,-379.00
677,0.00,423.00,-759.00
