,0.00,-106.00,-6076.00
1,0.00,-100.00,94.00
32,0.00,-29.00,-474.00
42,0.00,-86.00,2278.00
49,0.00,-81.00,-854.00
56,0.00,-38.00,-3607.00
64,0.00,-17.00,-854.00
71,0.00,-31.00,1993.00
78,0.00,-75.00,3228.00
86,0.00,-59.00,-2088.00
93,0.00,-8.00,-3323.00
100,0.00,12.00,-1139.00
108,0.00,-15.00,2088.00
115,0.00,-51.00,3417.00
122,0.00,-24.00,-2563.00
130,0.00,25.00,-3133.00
137,0.00,40.00,-1329.00
144,0.00,0.00,3323.00
152,0.00,-14.00,854.00
159,0.00,31.00,-3987.00
166,0.00,72.00,-3038.00
174,0.00,54.00,1708.00
181,0.00,16.00,3323.00
188,0.00,17.00,-664.00
196,0.00,68.00,-4557.00
203,0.00,82.00,-949.00
210,0.00,69.00,1708.00
218,0.00,42.00,2183.00
225,0.00,62.00,-2278.00
232,0.00,113.00,-4557.00
240,0.00,105.00,1234.00
247,0.00,86.00,1803.00
254,0.00,54.00,2563.00
262,0.00,96.00,-3702.00
269,0.00,119.00,-1803.00
276,0.00,124.00,-189.00
283,0.00,102.00,1803.00
291,0.00,87.00,949.00
298,0.00,117.00,-2658.00
305,0.00,134.00,-949.00
313,0.00,125.00,664.00
320,0.00,106.00,1614.00
327,0.00,111.00,-474.00
335,0.00,139.00,-2088.00
342,0.00,147.00,-664.00
349,0.00,125.00,1803.00
357,0.00,112.00,949.00
364,0.00,120.00,-759.00
371,0.00,146.00,-1803.00
379,0.00,146.00,-189.00
386,0.00,128.00,1993.00
393,0.00,120.00,664.00
401,0.00,144.00,-2278.00
408,0.00,156.00,-1139.00
415,0.00,145.00,1234.00
423,0.00,126.00,1329.00
430,0.00,124.00,0.00
437,0.00,143.00,-1139.00
445,0.00,144.00,0.00
452,0.00,139.00,854.00
459,0.00,126.00,949.00
467,0.00,133.00,-854.00
474,0.00,140.00,-854.00
481,0.00,136.00,379.00
489,0.00,125.00,854.00
496,0.00,112.00,1329.00
503,0.00,121.00,-854.00
511,0.00,124.00,189.00
518,0.00,120.00,379.00
525,0.00,106.00,569.00
533,0.00,103.00,94.00
540,0.00,102.00,-189.00
547,0.00,109.00,-379.00
555,0.00,105.00,474.00
562,0.00,93.00,1044.00
569,0.00,86.00,474.00
577,0.00,90.00,94.00
584,0.00,87.00,-284.00
591,0.00,83.00,759.00
599,0.00,71.00,1139.00
606,0.00,69.00,94.00
613,0.00,66.00,664.00
621,0.00,77.00,-1139.00
628,0.00,54.00,1614.00
635,0.00,44.00,379.00
643,0.00,49.00,189.00
650,0.00,47.00,-94.00
657,0.00,41.00,664.00
665,0.00,32.00,664.00
672,0.00,24.00,379.00
679,0.00,28.00,-379.00
687,0.00,21.00,854.00
694,0.00,11.00,664.00
701,0.00,6.00,284.00
709,0.00,0.00,284.00
716,0.00,1.00,-189.00
723,0.00,-7.00,569.00
731,0.00,-13.00,854.00
738,0.00,-16.00,379.00
745,0.00,-21.00,379.00
753,0.00,-18.00,-94.00
760,0.00,-28.00,1234.00
767,0.00,-36.00,664.00
775,0.00,-42.00,569.00
782,0.00,-47.00,189.00
789,0.00,-47.00,0.00
797,0.00,-59.00,1044.00
804,0.00,-59.00,-379.00
811,0.00,-67.00,664.00
819,0.00,-63.00,-379.00
826,0.00,-66.00,474.00
833,0.00,-76.00,854.00
841,0.00,-81.00,284.00
848,0.00,-84.00,189.00
855,0.00,-76.00,-569.00
863,0.00,-84.00,664.00
870,0.00,-89.00,284.00
877,0.00,-94.00,569.00
885,0.00,-100.00,379.00
892,0.00,-90.00,-569.00
899,0.00,-95.00,379.00
907,0.00,-101.00,759.00
914,0.00,-104.00,284.00
921,0.00,-106.00,-94.00
929,0.00,-106.00,0.00
936,0.00,-112.00,0.00
943,0.00,-110.00,-94.00
951,0.00,-111.00,94.00
958,0.00,-116.00,474.00
965,0.00,-119.00,-94.00
973,0.00,-126.00,664.00
980,0.00,-119.00,664.00
987,0.00,-121.00,-94.00
995,0.00,-118.00,-189.00
1002,0.00,-117.00,-284.00
1009,0.00,-114.00,-94.00
1017,0.00,-112.00,-189.00
1024,0.00,-121.00,949.00
1031,0.00,-112.00,-1234.00
1039,0.00,-115.00,0.00
1046,0.00,-110.00,-189.00
1053,0.00,-112.00,-189.00
1061,0.00,-116.00,379.00
1068,0.00,-112.00,-379.00
1075,0.00,-108.00,-379.00
1083,0.00,-101.00,-189.00
1090,0.00,-103.00,284.00
1097,0.00,-111.00,379.00
1105,0.00,-101.00,-664.00
1112,0.00,-95.00,-664.00
1119,0.00,-94.00,0.00
1127,0.00,-88.00,-379.00
1134,0.00,-95.00,379.00
1141,0.00,-85.00,-1139.00
1170,0.00,-79.00,-379.00
1177,0.00,-81.00,474.00
1184,0.00,-76.00,-569.00
1192,0.00,-76.00,189.00
1199,0.00,-66.00,-664.00
1206,0.00,-71.00,284.00
1214,0.00,-69.00,-94.00
1221,0.00,-63.00,-284.00
1228,0.00,-61.00,-284.00
1236,0.00,-56.00,-189.00
1243,0.00,-61.00,284.00
1250,0.00,-59.00,-189.00
1258,0.00,-55.00,-569.00
1265,0.00,-52.00,-379.00
1272,0.00,-44.00,-474.00
1280,0.00,-36.00,-284.00
1287,0.00,-39.00,0.00
1294,0.00,-38.00,284.00
1302,0.00,-24.00,-1614.00
1309,0.00,-23.00,-949.00
1316,0.00,-22.00,-284.00
1324,0.00,-16.00,-569.00
1331,0.00,-22.00,189.00
1338,0.00,-13.00,-759.00
1346,0.00,-11.00,-94.00
1353,0.00,-7.00,-189.00
1360,0.00,0.00,-664.00
1368,0.00,8.00,-379.00
1375,0.00,7.00,94.00
1382,0.00,11.00,-474.00
1390,0.00,9.00,94.00
1397,0.00,11.00,-284.00
1398,0.00,46.00,-3417.00
