,0.00,538.00,-5221.00
1,0.00,579.00,-3512.00
33,0.00,721.00,-284.00
34,0.00,751.00,-3417.00
37,0.00,827.00,-5411.00
43,0.00,860.00,-3702.00
51,0.00,803.00,3607.00
62,0.00,815.00,-664.00
75,0.00,920.00,-8449.00
87,0.00,959.00,-1803.00
99,0.00,899.00,6076.00
111,0.00,837.00,3702.00
123,0.00,899.00,-7405.00
136,0.00,980.00,-5032.00
148,0.00,993.00,-379.00
160,0.00,918.00,5981.00
172,0.00,871.00,4367.00
185,0.00,932.00,-3607.00
197,0.00,984.00,-2943.00
209,0.00,952.00,2468.00
221,0.00,859.00,6646.00
233,0.00,833.00,1898.00
246,0.00,886.00,-2658.00
258,0.00,923.00,-3323.00
270,0.00,830.00,6930.00
282,0.00,745.00,8449.00
295,0.00,746.00,-379.00
307,0.00,815.00,-6171.00
319,0.00,788.00,2373.00
331,0.00,685.00,9399.00
343,0.00,612.00,5411.00
356,0.00,638.00,-2563.00
368,0.00,676.00,-3512.00
380,0.00,621.00,6076.00
392,0.00,516.00,10064.00
405,0.00,469.00,3133.00
417,0.00,505.00,-3512.00
429,0.00,505.00,379.00
441,0.00,441.00,5981.00
453,0.00,353.00,6930.00
466,0.00,321.00,1803.00
478,0.00,347.00,-1993.00
490,0.00,341.00,1234.00
502,0.00,249.00,8070.00
515,0.00,163.00,6456.00
527,0.00,159.00,94.00
539,0.00,181.00,-1519.00
551,0.00,151.00,2373.00
563,0.00,49.00,8829.00
576,0.00,-20.00,4842.00
588,0.00,-6.00,-1898.00
600,0.00,-6.00,284.00
612,0.00,-57.00,5221.00
624,0.00,-156.00,8070.00
637,0.00,-206.00,3228.00
649,0.00,-178.00,-2753.00
661,0.00,-188.00,1044.00
673,0.00,-270.00,7405.00
686,0.00,-348.00,6361.00
698,0.00,-366.00,949.00
710,0.00,-347.00,-1803.00
722,0.00,-369.00,1993.00
734,0.00,-449.00,7215.00
747,0.00,-517.00,5221.00
759,0.00,-513.00,-1614.00
771,0.00,-496.00,-949.00
783,0.00,-533.00,3607.00
796,0.00,-617.00,7215.00
808,0.00,-657.00,2753.00
820,0.00,-640.00,-1803.00
832,0.00,-638.00,-94.00
844,0.00,-687.00,5032.00
857,0.00,-753.00,5221.00
869,0.00,-769.00,569.00
881,0.00,-744.00,-1993.00
893,0.00,-746.00,284.00
906,0.00,-796.00,4462.00
918,0.00,-856.00,4557.00
930,0.00,-850.00,-949.00
942,0.00,-829.00,-1614.00
954,0.00,-838.00,1234.00
967,0.00,-899.00,5221.00
979,0.00,-934.00,2183.00
991,0.00,-893.00,-3323.00
1003,0.00,-883.00,-379.00
1016,0.00,-904.00,1424.00
1028,0.00,-951.00,3797.00
1040,0.00,-957.00,474.00
1052,0.00,-916.00,-3228.00
1064,0.00,-904.00,-854.00
1077,0.00,-933.00,2753.00
1089,0.00,-963.00,1993.00
1101,0.00,-940.00,-2468.00
1113,0.00,-900.00,-2943.00
1126,0.00,-893.00,379.00
1138,0.00,-921.00,1898.00
1150,0.00,-931.00,569.00
1162,0.00,-886.00,-3892.00
1174,0.00,-853.00,-2373.00
1180,0.00,-857.00,474.00
1192,0.00,-868.00,1139.00
1204,0.00,-863.00,-759.00
1216,0.00,-809.00,-4367.00
1229,0.00,-781.00,-1708.00
1241,0.00,-782.00,0.00
1253,0.00,-789.00,854.00
1265,0.00,-756.00,-3228.00
1277,0.00,-705.00,-4082.00
1290,0.00,-681.00,-1614.00
1302,0.00,-686.00,664.00
1314,0.00,-672.00,-1329.00
1326,0.00,-619.00,-4557.00
1339,0.00,-565.00,-4177.00
1351,0.00,-550.00,-949.00
1363,0.00,-556.00,379.00
1375,0.00,-523.00,-2753.00
1387,0.00,-470.00,-4272.00
1400,0.00,-416.00,-4177.00
