,0.00,-510.00,-5411.00
1,0.00,-444.00,-5886.00
4,0.00,-397.00,-3797.00
10,0.00,-352.00,-3038.00
18,0.00,-306.00,-4367.00
29,0.00,-255.00,-4272.00
41,0.00,-228.00,-2088.00
53,0.00,-195.00,-2563.00
65,0.00,-159.00,-2848.00
78,0.00,-131.00,-2468.00
90,0.00,-102.00,-2088.00
102,0.00,-69.00,-2753.00
114,0.00,-37.00,-2183.00
126,0.00,-3.00,-3417.00
139,0.00,16.00,-1519.00
151,0.00,40.00,-1708.00
163,0.00,82.00,-3512.00
175,0.00,112.00,-2753.00
188,0.00,136.00,-1898.00
200,0.00,162.00,-1898.00
212,0.00,189.00,-2753.00
224,0.00,220.00,-2658.00
236,0.00,248.00,-2468.00
249,0.00,269.00,-1614.00
261,0.00,298.00,-2278.00
273,0.00,328.00,-2753.00
285,0.00,356.00,-2088.00
298,0.00,382.00,-1898.00
310,0.00,404.00,-1708.00
322,0.00,424.00,-1708.00
334,0.00,450.00,-2183.00
346,0.00,474.00,-1519.00
359,0.00,499.00,-1708.00
371,0.00,522.00,-1993.00
383,0.00,545.00,-2088.00
395,0.00,563.00,-949.00
408,0.00,584.00,-1708.00
420,0.00,608.00,-2088.00
432,0.00,620.00,-1139.00
444,0.00,636.00,-949.00
456,0.00,656.00,-1898.00
469,0.00,671.00,-1139.00
481,0.00,677.00,-569.00
493,0.00,684.00,-759.00
505,0.00,694.00,-759.00
518,0.00,710.00,-1329.00
530,0.00,715.00,0.00
542,0.00,714.00,569.00
554,0.00,721.00,-664.00
566,0.00,732.00,-1139.00
579,0.00,736.00,-379.00
591,0.00,740.00,-94.00
603,0.00,738.00,-284.00
615,0.00,740.00,0.00
628,0.00,739.00,0.00
640,0.00,739.00,94.00
652,0.00,745.00,-379.00
664,0.00,744.00,569.00
676,0.00,738.00,94.00
689,0.00,730.00,949.00
701,0.00,725.00,284.00
713,0.00,721.00,189.00
725,0.00,709.00,759.00
738,0.00,701.00,759.00
750,0.00,688.00,949.00
762,0.00,673.00,1139.00
774,0.00,662.00,854.00
786,0.00,645.00,1139.00
799,0.00,627.00,1803.00
811,0.00,612.00,1139.00
823,0.00,596.00,1234.00
835,0.00,566.00,2563.00
848,0.00,555.00,759.00
860,0.00,539.00,1139.00
872,0.00,516.00,1803.00
884,0.00,496.00,1424.00
896,0.00,480.00,1044.00
909,0.00,452.00,2848.00
921,0.00,434.00,1139.00
933,0.00,406.00,2563.00
945,0.00,387.00,1614.00
958,0.00,362.00,1234.00
970,0.00,339.00,1898.00
982,0.00,315.00,1993.00
994,0.00,278.00,3133.00
1006,0.00,252.00,1898.00
1019,0.00,228.00,1898.00
1031,0.00,205.00,1898.00
1043,0.00,175.00,2658.00
1055,0.00,150.00,1993.00
1068,0.00,124.00,2183.00
1080,0.00,97.00,2088.00
1092,0.00,72.00,1898.00
1104,0.00,42.00,2563.00
1116,0.00,13.00,2278.00
1129,0.00,-16.00,2658.00
1141,0.00,-43.00,2373.00
1178,0.00,-64.00,1993.00
1190,0.00,-101.00,2848.00
1202,0.00,-134.00,2753.00
1215,0.00,-162.00,2468.00
1227,0.00,-187.00,1993.00
1239,0.00,-223.00,2563.00
1251,0.00,-250.00,2563.00
1264,0.00,-276.00,1993.00
1276,0.00,-301.00,2088.00
1288,0.00,-318.00,1424.00
1300,0.00,-349.00,2753.00
1312,0.00,-373.00,2088.00
1325,0.00,-394.00,1329.00
1337,0.00,-411.00,1139.00
1349,0.00,-440.00,2278.00
1361,0.00,-463.00,1803.00
1374,0.00,-480.00,1424.00
1386,0.00,-496.00,1139.00
1398,0.00,-512.00,1424.00
