,0.00,324.00,-2088.00
2,0.00,341.00,-1139.00
5,0.00,356.00,-949.00
13,0.00,360.00,284.00
20,0.00,384.00,-2563.00
27,0.00,406.00,-1803.00
35,0.00,405.00,474.00
42,0.00,387.00,1424.00
49,0.00,369.00,1993.00
57,0.00,384.00,-1329.00
64,0.00,398.00,-1329.00
71,0.00,401.00,-474.00
79,0.00,379.00,1803.00
86,0.00,371.00,474.00
93,0.00,375.00,-759.00
101,0.00,395.00,-1139.00
108,0.00,382.00,1329.00
115,0.00,360.00,2088.00
123,0.00,355.00,284.00
130,0.00,356.00,-284.00
137,0.00,355.00,-284.00
145,0.00,343.00,949.00
152,0.00,324.00,1234.00
159,0.00,318.00,664.00
167,0.00,326.00,-664.00
174,0.00,322.00,474.00
181,0.00,296.00,2373.00
189,0.00,286.00,759.00
196,0.00,283.00,284.00
203,0.00,281.00,-284.00
211,0.00,261.00,1519.00
218,0.00,240.00,1614.00
225,0.00,227.00,1044.00
233,0.00,222.00,284.00
240,0.00,224.00,-94.00
247,0.00,206.00,1708.00
255,0.00,181.00,1993.00
262,0.00,174.00,474.00
269,0.00,163.00,854.00
277,0.00,157.00,474.00
284,0.00,132.00,2088.00
291,0.00,113.00,1424.00
299,0.00,107.00,379.00
306,0.00,96.00,949.00
313,0.00,85.00,1234.00
321,0.00,58.00,1803.00
328,0.00,46.00,854.00
335,0.00,37.00,569.00
343,0.00,29.00,759.00
350,0.00,9.00,1993.00
357,0.00,-15.00,1329.00
365,0.00,-29.00,1329.00
372,0.00,-34.00,474.00
379,0.00,-45.00,1044.00
387,0.00,-66.00,1993.00
394,0.00,-88.00,1803.00
401,0.00,-102.00,1139.00
409,0.00,-111.00,949.00
416,0.00,-123.00,1614.00
423,0.00,-140.00,949.00
431,0.00,-156.00,1424.00
438,0.00,-163.00,759.00
445,0.00,-172.00,759.00
453,0.00,-189.00,1519.00
460,0.00,-209.00,1424.00
467,0.00,-226.00,1424.00
475,0.00,-225.00,-94.00
482,0.00,-234.00,664.00
489,0.00,-253.00,1898.00
497,0.00,-272.00,1329.00
504,0.00,-278.00,379.00
511,0.00,-278.00,94.00
519,0.00,-288.00,1234.00
526,0.00,-305.00,1329.00
533,0.00,-319.00,1139.00
541,0.00,-329.00,189.00
548,0.00,-320.00,-474.00
555,0.00,-326.00,379.00
563,0.00,-338.00,759.00
570,0.00,-349.00,1044.00
577,0.00,-353.00,379.00
585,0.00,-352.00,189.00
592,0.00,-357.00,474.00
599,0.00,-364.00,569.00
607,0.00,-364.00,0.00
614,0.00,-364.00,-189.00
621,0.00,-367.00,284.00
629,0.00,-369.00,0.00
636,0.00,-369.00,189.00
643,0.00,-370.00,0.00
651,0.00,-365.00,-284.00
658,0.00,-365.00,189.00
665,0.00,-372.00,474.00
673,0.00,-369.00,-569.00
680,0.00,-356.00,-949.00
687,0.00,-358.00,0.00
695,0.00,-355.00,-284.00
702,0.00,-349.00,-664.00
709,0.00,-344.00,-284.00
717,0.00,-335.00,-759.00
724,0.00,-332.00,94.00
731,0.00,-329.00,-379.00
739,0.00,-317.00,-759.00
746,0.00,-307.00,-1044.00
760,0.00,-301.00,-474.00
767,0.00,-292.00,-949.00
775,0.00,-278.00,-1329.00
782,0.00,-267.00,-854.00
789,0.00,-257.00,-759.00
797,0.00,-253.00,-664.00
804,0.00,-241.00,-949.00
811,0.00,-231.00,-1044.00
819,0.00,-214.00,-1424.00
826,0.00,-200.00,-949.00
833,0.00,-194.00,-759.00
841,0.00,-178.00,-1708.00
848,0.00,-167.00,-664.00
855,0.00,-151.00,-1234.00
863,0.00,-141.00,-1044.00
870,0.00,-128.00,-1139.00
877,0.00,-114.00,-1139.00
885,0.00,-91.00,-1803.00
892,0.00,-88.00,284.00
899,0.00,-78.00,-1139.00
907,0.00,-62.00,-1044.00
914,0.00,-47.00,-1044.00
921,0.00,-31.00,-1234.00
928,0.00,-24.00,-379.00
936,0.00,-18.00,-759.00
943,0.00,-6.00,-664.00
950,0.00,15.00,-1898.00
958,0.00,37.00,-1234.00
965,0.00,41.00,-759.00
972,0.00,57.00,-1139.00
980,0.00,72.00,-1329.00
987,0.00,86.00,-949.00
994,0.00,98.00,-1139.00
1002,0.00,110.00,-949.00
1009,0.00,116.00,-474.00
1016,0.00,129.00,-379.00
1024,0.00,134.00,-664.00
1031,0.00,147.00,-949.00
1038,0.00,161.00,-854.00
1046,0.00,171.00,-854.00
1053,0.00,183.00,-854.00
1060,0.00,200.00,-1329.00
1068,0.00,203.00,-189.00
1075,0.00,210.00,-854.00
1082,0.00,220.00,-854.00
1090,0.00,232.00,-949.00
1097,0.00,238.00,-759.00
1104,0.00,244.00,0.00
1112,0.00,249.00,-664.00
1119,0.00,258.00,-664.00
1126,0.00,260.00,-189.00
1134,0.00,275.00,-1139.00
