,0.00,0.00,-3987.00
1,0.00,23.00,-2563.00
4,0.00,35.00,-284.00
10,0.00,50.00,-854.00
17,0.00,60.00,-1803.00
25,0.00,90.00,-2373.00
32,0.00,96.00,-94.00
39,0.00,85.00,1329.00
47,0.00,68.00,1329.00
54,0.00,88.00,-2373.00
61,0.00,110.00,-1424.00
69,0.00,106.00,379.00
76,0.00,102.00,474.00
83,0.00,86.00,1803.00
91,0.00,111.00,-2183.00
98,0.00,124.00,-1329.00
105,0.00,122.00,189.00
113,0.00,113.00,854.00
120,0.00,101.00,854.00
127,0.00,126.00,-1898.00
135,0.00,136.00,-569.00
142,0.00,128.00,1044.00
149,0.00,120.00,569.00
157,0.00,123.00,-854.00
164,0.00,145.00,-1329.00
171,0.00,140.00,189.00
179,0.00,141.00,-284.00
186,0.00,130.00,1424.00
193,0.00,140.00,-1044.00
201,0.00,151.00,-284.00
208,0.00,153.00,-474.00
215,0.00,136.00,1614.00
223,0.00,130.00,474.00
230,0.00,140.00,-949.00
237,0.00,147.00,-94.00
245,0.00,142.00,474.00
252,0.00,134.00,759.00
259,0.00,130.00,474.00
267,0.00,134.00,0.00
274,0.00,138.00,94.00
281,0.00,134.00,189.00
289,0.00,136.00,-664.00
296,0.00,134.00,189.00
303,0.00,131.00,379.00
311,0.00,122.00,379.00
318,0.00,127.00,-379.00
325,0.00,113.00,1329.00
333,0.00,115.00,-284.00
340,0.00,113.00,94.00
347,0.00,117.00,-474.00
355,0.00,105.00,1044.00
362,0.00,106.00,0.00
369,0.00,98.00,1044.00
377,0.00,101.00,0.00
384,0.00,99.00,-284.00
391,0.00,81.00,1424.00
399,0.00,81.00,-189.00
406,0.00,74.00,759.00
413,0.00,86.00,-1139.00
421,0.00,75.00,949.00
428,0.00,67.00,379.00
435,0.00,62.00,189.00
443,0.00,65.00,-569.00
450,0.00,58.00,949.00
457,0.00,40.00,1803.00
465,0.00,42.00,-189.00
472,0.00,45.00,-284.00
479,0.00,38.00,569.00
487,0.00,25.00,1424.00
494,0.00,20.00,284.00
501,0.00,17.00,-94.00
509,0.00,13.00,284.00
516,0.00,7.00,854.00
523,0.00,-5.00,1044.00
531,0.00,-10.00,949.00
538,0.00,-14.00,284.00
545,0.00,-11.00,-474.00
553,0.00,-20.00,569.00
560,0.00,-29.00,664.00
567,0.00,-36.00,569.00
575,0.00,-38.00,94.00
582,0.00,-42.00,759.00
589,0.00,-47.00,94.00
597,0.00,-51.00,284.00
604,0.00,-53.00,94.00
611,0.00,-56.00,189.00
619,0.00,-57.00,189.00
626,0.00,-75.00,1898.00
633,0.00,-72.00,-474.00
641,0.00,-73.00,-94.00
648,0.00,-73.00,0.00
655,0.00,-79.00,854.00
663,0.00,-88.00,569.00
670,0.00,-91.00,189.00
677,0.00,-93.00,284.00
685,0.00,-93.00,-189.00
692,0.00,-97.00,284.00
699,0.00,-99.00,284.00
707,0.00,-98.00,-94.00
714,0.00,-104.00,569.00
721,0.00,-100.00,-474.00
729,0.00,-106.00,664.00
736,0.00,-111.00,379.00
743,0.00,-113.00,379.00
751,0.00,-116.00,379.00
758,0.00,-114.00,-189.00
765,0.00,-111.00,-284.00
773,0.00,-120.00,854.00
780,0.00,-118.00,94.00
787,0.00,-118.00,-94.00
795,0.00,-116.00,-94.00
802,0.00,-121.00,474.00
809,0.00,-112.00,-759.00
817,0.00,-119.00,474.00
824,0.00,-119.00,0.00
831,0.00,-121.00,284.00
839,0.00,-119.00,-474.00
846,0.00,-117.00,94.00
853,0.00,-120.00,284.00
861,0.00,-119.00,-379.00
868,0.00,-107.00,-759.00
875,0.00,-105.00,-189.00
883,0.00,-107.00,0.00
890,0.00,-103.00,-284.00
897,0.00,-97.00,-474.00
905,0.00,-103.00,759.00
912,0.00,-91.00,-1139.00
919,0.00,-94.00,284.00
927,0.00,-96.00,379.00
934,0.00,-89.00,-664.00
941,0.00,-89.00,189.00
948,0.00,-84.00,-854.00
956,0.00,-75.00,-474.00
963,0.00,-78.00,474.00
970,0.00,-72.00,-664.00
978,0.00,-73.00,379.00
985,0.00,-67.00,-284.00
992,0.00,-69.00,94.00
1000,0.00,-63.00,-379.00
1007,0.00,-58.00,-474.00
1014,0.00,-59.00,189.00
1022,0.00,-57.00,-379.00
1029,0.00,-59.00,-284.00
1036,0.00,-46.00,-949.00
1044,0.00,-42.00,-189.00
1051,0.00,-32.00,-1044.00
1058,0.00,-29.00,0.00
1066,0.00,-32.00,474.00
1073,0.00,-24.00,-569.00
1080,0.00,-19.00,-284.00
1088,0.00,-16.00,-94.00
1095,0.00,-11.00,-664.00
1102,0.00,-10.00,284.00
1110,0.00,-10.00,0.00
1117,0.00,-4.00,-284.00
1124,0.00,0.00,-569.00
1132,0.00,0.00,-94.00
1139,0.00,8.00,-569.00
1171,0.00,15.00,-379.00
1179,0.00,21.00,-949.00
1186,0.00,14.00,569.00
1193,0.00,18.00,-284.00
1201,0.00,23.00,-569.00
1208,0.00,30.00,-569.00
1215,0.00,28.00,759.00
1223,0.00,31.00,-474.00
1230,0.00,31.00,-94.00
1237,0.00,35.00,-379.00
1245,0.00,44.00,-854.00
1252,0.00,41.00,379.00
1259,0.00,40.00,284.00
1267,0.00,43.00,0.00
1274,0.00,40.00,189.00
1281,0.00,54.00,-759.00
1289,0.00,52.00,189.00
1296,0.00,47.00,474.00
1303,0.00,54.00,-664.00
1311,0.00,46.00,94.00
1318,0.00,52.00,-569.00
1325,0.00,52.00,379.00
1333,0.00,57.00,-664.00
1340,0.00,61.00,-474.00
1347,0.00,59.00,94.00
1355,0.00,58.00,-94.00
1362,0.00,59.00,284.00
1369,0.00,59.00,-284.00
1377,0.00,55.00,569.00
1384,0.00,58.00,0.00
1391,0.00,64.00,-569.00
1399,0.00,58.00,284.00
