,0.00,-94.00,-2373.00
1,0.00,-68.00,-2848.00
4,0.00,-58.00,-284.00
11,0.00,-50.00,94.00
18,0.00,-45.00,-1329.00
25,0.00,-20.00,-1898.00
33,0.00,-13.00,-284.00
40,0.00,-22.00,569.00
47,0.00,-36.00,1519.00
55,0.00,-30.00,-2278.00
62,0.00,-1.00,-1708.00
69,0.00,2.00,189.00
77,0.00,0.00,94.00
84,0.00,-9.00,949.00
91,0.00,8.00,-1708.00
99,0.00,28.00,-1614.00
106,0.00,34.00,-189.00
113,0.00,21.00,759.00
121,0.00,23.00,-664.00
128,0.00,33.00,-759.00
135,0.00,33.00,569.00
143,0.00,40.00,-569.00
150,0.00,32.00,949.00
157,0.00,45.00,-1424.00
165,0.00,62.00,-1234.00
172,0.00,66.00,-854.00
179,0.00,61.00,0.00
187,0.00,57.00,569.00
194,0.00,74.00,-1329.00
201,0.00,83.00,-664.00
209,0.00,76.00,569.00
216,0.00,72.00,569.00
223,0.00,74.00,-94.00
231,0.00,81.00,-759.00
238,0.00,87.00,-284.00
245,0.00,84.00,189.00
253,0.00,84.00,189.00
260,0.00,93.00,-1234.00
267,0.00,102.00,-759.00
275,0.00,92.00,1139.00
282,0.00,100.00,-474.00
289,0.00,93.00,664.00
297,0.00,106.00,-664.00
304,0.00,101.00,94.00
311,0.00,109.00,-854.00
319,0.00,110.00,94.00
326,0.00,103.00,474.00
333,0.00,107.00,-854.00
341,0.00,105.00,379.00
348,0.00,109.00,-379.00
355,0.00,101.00,379.00
363,0.00,106.00,-379.00
370,0.00,105.00,189.00
377,0.00,104.00,189.00
385,0.00,113.00,-949.00
392,0.00,100.00,569.00
399,0.00,99.00,284.00
407,0.00,94.00,379.00
414,0.00,110.00,-1424.00
421,0.00,105.00,664.00
429,0.00,99.00,0.00
443,0.00,99.00,759.00
450,0.00,100.00,-94.00
457,0.00,95.00,474.00
465,0.00,95.00,0.00
472,0.00,98.00,-284.00
479,0.00,93.00,664.00
487,0.00,88.00,759.00
494,0.00,84.00,284.00
501,0.00,86.00,-379.00
509,0.00,83.00,0.00
516,0.00,76.00,474.00
523,0.00,71.00,474.00
531,0.00,70.00,569.00
538,0.00,69.00,-94.00
545,0.00,64.00,379.00
553,0.00,59.00,284.00
560,0.00,54.00,284.00
567,0.00,48.00,569.00
575,0.00,44.00,284.00
582,0.00,31.00,1234.00
589,0.00,34.00,-379.00
597,0.00,40.00,-94.00
604,0.00,33.00,0.00
611,0.00,29.00,379.00
619,0.00,22.00,854.00
626,0.00,17.00,664.00
633,0.00,15.00,189.00
641,0.00,18.00,94.00
648,0.00,11.00,664.00
655,0.00,0.00,1044.00
663,0.00,0.00,0.00
670,0.00,-6.00,284.00
677,0.00,-6.00,94.00
685,0.00,-11.00,664.00
692,0.00,-16.00,284.00
699,0.00,-13.00,94.00
707,0.00,-15.00,94.00
714,0.00,-24.00,759.00
721,0.00,-24.00,0.00
729,0.00,-26.00,94.00
736,0.00,-31.00,284.00
743,0.00,-35.00,474.00
751,0.00,-40.00,569.00
758,0.00,-41.00,0.00
765,0.00,-48.00,189.00
773,0.00,-47.00,0.00
780,0.00,-51.00,474.00
787,0.00,-54.00,189.00
795,0.00,-56.00,94.00
802,0.00,-61.00,664.00
809,0.00,-62.00,284.00
817,0.00,-60.00,-94.00
824,0.00,-66.00,94.00
831,0.00,-64.00,-189.00
839,0.00,-76.00,1424.00
846,0.00,-72.00,-664.00
853,0.00,-74.00,189.00
861,0.00,-71.00,-474.00
868,0.00,-73.00,94.00
875,0.00,-73.00,94.00
883,0.00,-74.00,94.00
890,0.00,-79.00,664.00
897,0.00,-79.00,0.00
905,0.00,-79.00,-189.00
912,0.00,-74.00,-284.00
919,0.00,-80.00,284.00
927,0.00,-85.00,284.00
934,0.00,-84.00,-94.00
941,0.00,-82.00,-284.00
948,0.00,-80.00,-189.00
956,0.00,-82.00,94.00
963,0.00,-81.00,-284.00
970,0.00,-84.00,-664.00
978,0.00,-76.00,-284.00
985,0.00,-75.00,-379.00
992,0.00,-80.00,284.00
1000,0.00,-72.00,-284.00
1007,0.00,-71.00,-189.00
1014,0.00,-66.00,0.00
1022,0.00,-69.00,0.00
1029,0.00,-76.00,379.00
1036,0.00,-72.00,-379.00
1044,0.00,-65.00,-379.00
1051,0.00,-65.00,0.00
1058,0.00,-63.00,-189.00
1066,0.00,-63.00,-284.00
1073,0.00,-59.00,-474.00
1080,0.00,-64.00,284.00
1088,0.00,-61.00,-94.00
1095,0.00,-58.00,-189.00
1102,0.00,-53.00,-379.00
1110,0.00,-54.00,-189.00
1117,0.00,-51.00,-94.00
1124,0.00,-52.00,94.00
1132,0.00,-47.00,-94.00
1139,0.00,-42.00,-569.00
1171,0.00,-41.00,-94.00
1179,0.00,-40.00,-189.00
1186,0.00,-40.00,-189.00
1193,0.00,-37.00,0.00
1201,0.00,-35.00,189.00
1208,0.00,-30.00,-284.00
1215,0.00,-27.00,189.00
1223,0.00,-37.00,854.00
1230,0.00,-31.00,-569.00
1237,0.00,-34.00,94.00
1245,0.00,-23.00,-1139.00
1252,0.00,-24.00,569.00
1259,0.00,-26.00,-379.00
1267,0.00,-17.00,-759.00
1274,0.00,-14.00,-854.00
1281,0.00,-16.00,189.00
1289,0.00,-12.00,-474.00
1296,0.00,-8.00,-284.00
1303,0.00,-8.00,-284.00
1311,0.00,-6.00,-379.00
1318,0.00,-11.00,-94.00
1325,0.00,-3.00,-379.00
1333,0.00,-1.00,0.00
1340,0.00,0.00,0.00
1347,0.00,2.00,-94.00
1355,0.00,6.00,-474.00
1362,0.00,4.00,284.00
1369,0.00,8.00,-474.00
1377,0.00,10.00,-189.00
1384,0.00,10.00,-94.00
1391,0.00,17.00,-474.00
1399,0.00,9.00,759.00
