,0.00,-99.00,-2278.00
1,0.00,-70.00,-3038.00
4,0.00,-54.00,-1139.00
11,0.00,-41.00,-474.00
18,0.00,-35.00,-1139.00
25,0.00,-9.00,-1614.00
33,0.00,-2.00,-569.00
40,0.00,-14.00,759.00
47,0.00,-25.00,1424.00
55,0.00,-15.00,-1898.00
62,0.00,16.00,-2468.00
69,0.00,17.00,-94.00
77,0.00,17.00,379.00
84,0.00,7.00,664.00
91,0.00,28.00,-1708.00
99,0.00,43.00,-1139.00
106,0.00,49.00,-189.00
113,0.00,39.00,664.00
121,0.00,42.00,-569.00
128,0.00,61.00,-1898.00
135,0.00,67.00,474.00
143,0.00,60.00,-94.00
150,0.00,62.00,569.00
157,0.00,78.00,-1519.00
165,0.00,93.00,-1234.00
172,0.00,92.00,-94.00
179,0.00,90.00,-94.00
187,0.00,87.00,379.00
194,0.00,102.00,-1519.00
201,0.00,105.00,189.00
209,0.00,110.00,94.00
216,0.00,101.00,379.00
223,0.00,105.00,-284.00
231,0.00,116.00,-474.00
238,0.00,124.00,-569.00
245,0.00,121.00,474.00
253,0.00,120.00,379.00
260,0.00,126.00,-759.00
267,0.00,130.00,-284.00
275,0.00,132.00,284.00
282,0.00,130.00,569.00
289,0.00,126.00,-94.00
297,0.00,134.00,-569.00
304,0.00,139.00,189.00
311,0.00,140.00,-94.00
319,0.00,138.00,284.00
326,0.00,134.00,474.00
333,0.00,142.00,-569.00
341,0.00,135.00,759.00
348,0.00,139.00,-379.00
355,0.00,142.00,-854.00
363,0.00,134.00,854.00
370,0.00,133.00,94.00
377,0.00,141.00,-854.00
385,0.00,141.00,284.00
392,0.00,134.00,759.00
399,0.00,137.00,-569.00
407,0.00,124.00,854.00
414,0.00,130.00,-284.00
421,0.00,133.00,-474.00
429,0.00,123.00,949.00
436,0.00,126.00,-189.00
443,0.00,129.00,-474.00
451,0.00,123.00,474.00
458,0.00,115.00,1044.00
465,0.00,109.00,1139.00
473,0.00,119.00,-949.00
480,0.00,114.00,284.00
487,0.00,103.00,1044.00
495,0.00,93.00,1329.00
502,0.00,95.00,-474.00
509,0.00,97.00,-94.00
517,0.00,94.00,189.00
