,0.00,-121.00,-2468.00
1,0.00,-95.00,-2753.00
4,0.00,-83.00,-1424.00
11,0.00,-81.00,474.00
18,0.00,-73.00,-1329.00
25,0.00,-47.00,-1519.00
33,0.00,-38.00,-379.00
40,0.00,-57.00,759.00
47,0.00,-70.00,1329.00
55,0.00,-54.00,-1614.00
62,0.00,-35.00,-1329.00
69,0.00,-32.00,-94.00
77,0.00,-41.00,379.00
84,0.00,-61.00,759.00
91,0.00,-37.00,-1708.00
99,0.00,-18.00,-1234.00
106,0.00,-19.00,94.00
113,0.00,-28.00,759.00
121,0.00,-36.00,569.00
128,0.00,-21.00,-1519.00
135,0.00,-11.00,-474.00
143,0.00,-10.00,-664.00
150,0.00,-18.00,949.00
157,0.00,-12.00,-569.00
165,0.00,2.00,-1329.00
172,0.00,1.00,-94.00
179,0.00,1.00,-94.00
187,0.00,1.00,284.00
194,0.00,11.00,-949.00
201,0.00,22.00,-474.00
209,0.00,18.00,664.00
216,0.00,16.00,0.00
223,0.00,17.00,-189.00
231,0.00,28.00,-1044.00
238,0.00,34.00,-379.00
245,0.00,37.00,-189.00
253,0.00,28.00,474.00
260,0.00,35.00,-759.00
267,0.00,44.00,-759.00
275,0.00,40.00,759.00
282,0.00,34.00,664.00
289,0.00,38.00,-379.00
297,0.00,55.00,-1139.00
304,0.00,46.00,664.00
311,0.00,50.00,-569.00
319,0.00,50.00,0.00
326,0.00,57.00,-664.00
333,0.00,66.00,-949.00
341,0.00,59.00,854.00
348,0.00,63.00,-379.00
355,0.00,61.00,-379.00
363,0.00,64.00,-664.00
370,0.00,67.00,-379.00
377,0.00,65.00,474.00
385,0.00,75.00,-474.00
392,0.00,67.00,569.00
399,0.00,67.00,-94.00
407,0.00,67.00,-94.00
414,0.00,68.00,-189.00
421,0.00,74.00,-284.00
429,0.00,70.00,-189.00
436,0.00,75.00,-284.00
443,0.00,70.00,189.00
451,0.00,73.00,-474.00
458,0.00,69.00,474.00
465,0.00,66.00,94.00
473,0.00,72.00,-474.00
480,0.00,65.00,854.00
487,0.00,69.00,-189.00
495,0.00,63.00,569.00
502,0.00,73.00,-1044.00
509,0.00,75.00,-284.00
523,0.00,70.00,-189.00
531,0.00,74.00,-284.00
538,0.00,71.00,474.00
545,0.00,69.00,0.00
553,0.00,64.00,759.00
560,0.00,62.00,-854.00
567,0.00,54.00,474.00
575,0.00,54.00,0.00
582,0.00,49.00,474.00
589,0.00,44.00,0.00
597,0.00,50.00,-569.00
604,0.00,57.00,-759.00
611,0.00,46.00,1139.00
619,0.00,41.00,569.00
626,0.00,37.00,379.00
633,0.00,42.00,-474.00
641,0.00,32.00,854.00
648,0.00,36.00,-189.00
655,0.00,33.00,379.00
663,0.00,28.00,569.00
670,0.00,23.00,474.00
677,0.00,27.00,-189.00
685,0.00,24.00,94.00
692,0.00,20.00,94.00
699,0.00,16.00,474.00
707,0.00,13.00,284.00
714,0.00,10.00,379.00
721,0.00,11.00,-189.00
729,0.00,0.00,664.00
736,0.00,9.00,-664.00
743,0.00,2.00,759.00
751,0.00,-1.00,189.00
758,0.00,-6.00,284.00
765,0.00,-5.00,-94.00
773,0.00,-1.00,-379.00
780,0.00,-10.00,1044.00
787,0.00,-10.00,189.00
795,0.00,-13.00,379.00
802,0.00,-18.00,0.00
809,0.00,-15.00,-569.00
817,0.00,-15.00,0.00
824,0.00,-18.00,284.00
831,0.00,-20.00,189.00
839,0.00,-21.00,189.00
846,0.00,-25.00,94.00
853,0.00,-30.00,379.00
861,0.00,-28.00,-379.00
868,0.00,-25.00,-94.00
875,0.00,-33.00,854.00
883,0.00,-36.00,284.00
890,0.00,-30.00,-474.00
897,0.00,-38.00,759.00
905,0.00,-41.00,569.00
912,0.00,-42.00,-284.00
922,0.00,-41.00,379.00
929,0.00,-44.00,-189.00
936,0.00,-46.00,94.00
944,0.00,-48.00,474.00
951,0.00,-47.00,-189.00
958,0.00,-47.00,94.00
966,0.00,-47.00,284.00
973,0.00,-44.00,94.00
980,0.00,-54.00,949.00
988,0.00,-48.00,-379.00
995,0.00,-51.00,284.00
1002,0.00,-47.00,-474.00
1010,0.00,-51.00,379.00
1017,0.00,-52.00,0.00
1024,0.00,-55.00,379.00
1032,0.00,-56.00,189.00
1039,0.00,-50.00,-759.00
1046,0.00,-46.00,-189.00
1054,0.00,-45.00,0.00
1061,0.00,-47.00,284.00
1068,0.00,-51.00,284.00
1076,0.00,-45.00,-284.00
1083,0.00,-48.00,189.00
1090,0.00,-49.00,-379.00
1098,0.00,-46.00,-569.00
1105,0.00,-50.00,759.00
1112,0.00,-47.00,-569.00
1120,0.00,-47.00,189.00
1127,0.00,-43.00,-189.00
1134,0.00,-41.00,-94.00
1142,0.00,-47.00,0.00
1174,0.00,-43.00,-94.00
1181,0.00,-42.00,-379.00
1189,0.00,-41.00,-284.00
1196,0.00,-36.00,-379.00
1203,0.00,-41.00,379.00
1215,0.00,-42.00,379.00
1222,0.00,-40.00,-474.00
1229,0.00,-41.00,189.00
1237,0.00,-46.00,189.00
1244,0.00,-37.00,-759.00
1251,0.00,-38.00,-94.00
1259,0.00,-36.00,-284.00
1266,0.00,-36.00,-94.00
1273,0.00,-37.00,0.00
1281,0.00,-30.00,-379.00
1288,0.00,-27.00,94.00
1295,0.00,-33.00,284.00
1303,0.00,-29.00,-569.00
1310,0.00,-27.00,0.00
1317,0.00,-27.00,189.00
1325,0.00,-31.00,664.00
1332,0.00,-24.00,-189.00
1339,0.00,-20.00,-284.00
1347,0.00,-24.00,284.00
1354,0.00,-25.00,284.00
1361,0.00,-24.00,-94.00
1369,0.00,-18.00,189.00
1376,0.00,-15.00,-664.00
1383,0.00,-14.00,-94.00
1391,0.00,-16.00,94.00
1398,0.00,-12.00,-189.00
